movie,year,imdb,votes
Rose of the Rancho,1914,3.2,19
L'amazzone mascherata,1914,4.5,12
What's His Name,1914,6.3,9
The Boundary Rider,1914,6.8,8
Loyalty,1914,5.6,19
Burning Daylight: The Adventures of 'Burning Daylight' in Alaska,1914,4.8,9
0-18 or A Message from the Sky,1914,6.6,10
America,1914,3.1,10
Julius Caesar,1914,6.4,33
The Dishonored Medal,1914,6.2,19
Jane Eyre,1914,6.4,8
Rocambole,1914,6.4,8
In Search of the Castaways,1914,6.7,13
The Last Egyptian,1914,5.2,9
Fire and Sword,1914,8.1,10
Prisoner of the Night,1914,4.6,14
Joseph in the Land of Egypt,1914,5.3,17
The Princess in a Nightrobe,1914,4.9,15
Behind the Scenes,1914,6.5,22
Struggle for Life,1914,6,11
Sonka the Golden Hand,1914,8.1,14
"The World, the Flesh and the Devil",1914,7.2,15
Beating Back,1914,5.7,10
The Curse of Greed,1914,7.1,50
The Birth of a Nation,1915,6.7,19812
Alice in Wonderland,1915,6.2,334
Les vampires,1915,6.9,3752
The Cheat,1915,6.6,2110
The Golem,1915,6.1,962
A Fool There Was,1915,5.9,693
Carmen,1915,6.9,815
Regeneration,1915,7,976
Hypocrites,1915,6.6,398
On the Night Stage,1915,5.9,36
Martyrs of the Alamo,1915,5.9,118
Civilization,1915,6.1,242
"Fanchon, the Cricket",1915,6.7,20
The Italian,1915,6.5,256
The Coward,1915,6.1,200
A Butterfly on the Wheel,1915,6.8,44
Assunta Spina,1915,6.5,336
Nobleza gaucha,1915,6.2,46
The Captive,1915,6.5,62
Madame Butterfly,1915,5.4,48
The Lamb,1915,5.6,37
The Last Suit,1915,6,5
David Harum,1915,5.9,16
Far from the Madding Crowd,1915,6.4,14
The Golden Chance,1915,6.6,155
Chimmie Fadden Out West,1915,4.1,9
Trilby,1915,6.1,76
Peer Gynt,1915,7.6,7
Carmen,1915,5,16
The Picture of Dorian Grey,1915,6.6,35
Inspiration,1915,7.7,16
The Juggernaut,1915,5.8,13
Marvelous Maciste,1915,6.1,82
Children of Eve,1915,6.5,62
Filibus,1915,6.3,61
The Dictator,1915,8,28
Life Without Soul,1915,7,23
Passing of the Oklahoma Outlaws,1915,6.8,8
Deti veka,1915,6.3,97
Scandal,1915,6.3,10
The New Adventures of J. Rufus Wallingford,1915,5.4,16
The Undesirable,1915,6.2,145
The Governor,1915,6.1,301
Four Feathers,1915,7.2,24
The Broken Coin,1915,6.1,15
The Whirl of Life,1915,7.2,12
Camille,1915,6.7,7
La signora delle camelie,1915,6.6,27
Madame de Thèbes,1915,6.3,31
The White Pearl,1915,1,7
The Eternal City,1915,6.6,5
The Battle Cry of Peace,1915,4.4,8
The Lily and the Rose,1915,6.9,33
Young Romance,1915,6.1,137
Mistress Nell,1915,7.3,10
Kreutzer Sonata,1915,6.4,8
The Raven,1915,5.5,71
The Arab,1915,5.7,26
The Darkening Trail,1915,6.1,11
Neal of the Navy,1915,1.8,8
"John Redmond, the Evangelist",1915,6.1,51
Graustark,1915,1,7
War and Peace,1915,7.2,13
The Eternal Strife,1915,3.7,11
Double Trouble,1915,5.2,17
"Ultus, the Man from the Dead",1915,5.8,9
The Girl of the Golden West,1915,5.4,20
The Warrens of Virginia,1915,5.8,11
Enhver,1915,5.1,8
Who Pays?,1915,6.7,17
The Plunderer,1915,6.8,11
Old Heidelberg,1915,6.9,19
The Romance of Elaine,1915,6.9,11
Mortmain,1915,5.6,7
The Avenger,1915,6.7,28
Ghosts,1915,5.4,15
The Black Box,1915,3.6,9
Zhenshchina vampir,1915,7.3,18
The Jockey of Death,1915,6.2,16
The Prisoner of Zenda,1915,6.8,20
Don Quixote,1915,5.7,9
The Cub,1915,6.6,11
Golfo,1915,7.6,14
The Bulgarian Is Gallant,1915,8.1,46
Bánk bán,1915,5.6,19
The Builder of Bridges,1915,7.6,5
The Disciple,1915,6.7,25
Titanic,1915,5.7,167
Destruction,1915,7.8,10
The Quest,1915,5.1,16
"Der Hund von Baskerville, 4. Teil",1915,3.7,15
Flower of Evil,1915,6.7,22
Wildfire,1915,7.6,13
The Devil's Daughter,1915,6,7
Alias Jimmy Valentine,1915,6.2,187
Jeanne Doré,1915,6.1,7
Rupert of Hentzau,1915,6.3,11
Alexandra,1915,5.3,6
A Man and His Mate,1915,5.8,16
Betty in Search of a Thrill,1915,6.4,8
It's No Laughing Matter,1915,8.3,6
The Foundling,1915,5.6,7
Ruslan and Ludmilla,1915,8,7
